,Word,Conc.M,Conc.SD
744,attractiveness,2.14,1.36
745,attractor,2.79,1.5
746,attribution,2.04,1.31
747,attunement,1.77,0.82
748,auction,3.93,1.2
749,auctioneer,4.55,0.91
750,audacity,1.62,0.71
751,audience,4.29,0.9
752,audio,3.5,1.35
753,audiologist,4.0,1.27
754,audiology,2.15,1.13
755,audiotape,4.79,0.56
756,audit,3.15,1.68
757,audition,3.66,1.14
758,auditor,3.38,1.6
759,auditorium,4.7,0.95
760,augmentation,2.74,1.29
761,aunt,4.17,1.18
762,auntie,4.48,1.09
763,aura,2.67,1.33
764,auspices,1.86,1.21
765,austerity,1.38,0.64
766,authentication,2.0,1.02
767,authenticator,3.11,1.66
768,authenticity,1.74,1.2
769,author,4.26,1.1
770,authoritarianism,1.67,1.11
771,authority,2.34,1.29
772,authorization,2.45,1.33
773,authorship,2.52,1.4
774,autism,2.69,1.49
775,auto,4.0,1.36
776,autobiographer,4.07,1.23
777,autobiography,3.74,1.4
778,autocracy,2.23,1.48
779,autograph,4.23,1.21
780,autoimmune,2.64,1.5
781,automaker,4.07,1.07
782,automation,2.48,1.34
783,automaton,3.46,1.73
784,automobile,4.96,0.19
785,autonomy,2.04,1.1
786,autopilot,3.08,1.28
787,autopsy,4.29,1.3
788,autumn,3.27,1.32
789,availability,2.32,1.42
790,avalanche,4.32,1.06
791,avatar,3.21,1.68
792,avenue,4.0,1.36
793,aversion,1.85,1.16
794,aviation,3.39,1.57
795,aviator,4.57,0.57
796,avocado,4.89,0.58
797,avoidance,1.86,0.97
798,avoider,2.12,1.14
799,awakening,3.07,1.56
800,award,4.14,1.01
801,awardee,3.87,1.22
802,awareness,1.84,1.03
803,awe,1.89,1.22
804,awesomeness,1.57,1.07
805,awestruck,2.03,1.32
806,awfulness,2.2,1.41
807,awkwardness,2.34,1.23
808,awl,3.81,1.59
809,awning,4.61,0.92
810,ax,4.9,0.31
811,axe,5.0,0.0
812,axes,4.68,0.67
813,axiom,2.0,1.2
814,axis,3.57,1.37
815,axle,4.5,1.14
816,azalea,4.4,1.26
817,babe,3.67,1.47
818,baboon,4.92,0.27
819,baby,5.0,0.0
820,babyhood,2.77,1.11
821,babysitter,4.57,0.79
822,bachelor,4.32,1.07
823,bachelorette,3.9,1.37
824,bachelorhood,2.68,1.39
825,backache,4.0,1.19
826,backbend,3.92,1.41
827,backboard,4.93,0.26
828,backbone,4.19,1.14
829,backbreaker,2.88,1.45
830,backcountry,3.27,1.19
831,backcourt,3.39,1.53
832,backdoor,4.5,0.75
833,backdrop,4.48,0.91
834,backer,2.8,1.55
835,backfield,4.14,1.24
836,backflow,3.04,1.36
837,backgammon,4.47,1.14
838,background,3.26,1.36
839,backlash,1.85,1.03
840,backlog,3.29,1.51
841,backpack,4.96,0.19
842,backpacker,4.89,0.32
843,backroom,4.5,0.96
844,backscratcher,4.58,0.97
845,backseat,4.61,0.79
846,backside,4.07,1.38
847,backslapping,3.36,1.47
848,backslash,3.83,1.66
849,backspin,3.28,1.4
850,backstabber,3.14,1.43
851,backstairs,4.33,0.92
852,backstop,4.17,1.27
853,backstreet,4.19,0.94
854,backstretch,3.42,1.36
855,backstroke,4.46,0.88
856,backswept,2.6,1.29
857,backswing,3.88,1.05
858,backtalk,3.11,1.34
859,backup,3.2,1.42
860,backwardness,2.0,1.14
861,backwash,3.76,1.13
862,backwater,3.04,1.34
863,backwoods,3.22,1.59
864,backyard,4.57,0.92
865,bacon,4.9,0.56
866,bacteria,4.14,1.19
867,bacterium,3.69,1.28
868,badass,2.5,1.58
869,badge,4.93,0.26
870,badger,4.37,1.21
871,badlands,3.05,1.65
872,badminton,4.7,0.47
873,badmouth,2.36,1.29
874,badness,2.26,1.46
875,bag,4.9,0.55
876,bagel,5.0,0.0
877,baggage,4.43,1.1
878,baggie,4.59,0.87
879,bagpipe,4.97,0.19
880,bagpiper,4.67,0.88
881,bagpipes,4.93,0.26
882,baguette,4.64,0.87
883,bail,3.86,1.11
884,bailiff,4.5,0.96
885,bait,4.45,0.91
886,baits,3.62,1.35
887,bakery,4.83,0.38
888,bakeshop,4.93,0.38
889,baklava,4.32,1.38
890,balance,2.89,1.34
891,balancer,2.89,1.55
892,balcony,4.68,0.72
893,baldhead,4.44,0.96
894,baldness,3.96,1.2
895,bale,4.3,1.18
896,ball,5.0,0.0
897,ballad,3.88,1.2
898,ballast,3.14,1.61
899,ballerina,4.61,0.88
900,ballet,4.04,0.98
901,ballgame,4.39,0.92
902,ballistics,3.12,1.24
903,balloon,4.92,0.27
904,balloonist,4.5,1.14
905,ballot,4.73,0.64
906,balloting,3.43,1.38
907,ballpark,4.43,1.07
908,ballplayer,4.68,0.55
909,ballpoint,4.41,0.89
910,ballroom,4.7,0.82
911,balm,3.68,1.46
912,baloney,3.5,1.56
913,balsam,4.21,1.02
914,balsawood,4.58,0.97
915,bamboo,4.86,0.74
916,ban,2.37,1.5
917,banana,5.0,0.0
918,band,4.68,0.77
919,bandage,4.85,0.46
920,bandanna,5.0,0.0
921,bandit,4.36,0.95
922,bandleader,4.67,0.68
923,bandmaster,4.25,1.27
924,bandstand,4.19,1.27
925,bandwagon,3.29,1.49
926,bandwidth,3.19,1.33
927,banger,3.24,1.59
928,bangle,4.38,1.13
929,banishment,2.16,1.18
930,banister,4.75,0.84
931,banjo,4.9,0.4
932,bank,4.78,0.61
933,bankbook,4.81,0.62
934,banker,4.43,1.14
935,banking,3.55,1.24
936,banknote,4.88,0.33
937,bankroll,3.75,1.27
938,bankruptcy,2.68,1.33
939,banner,4.8,0.76
940,banquet,4.0,1.32
941,banquette,4.08,1.38
942,banshee,3.12,1.48
943,banter,2.85,1.41
944,baptism,3.41,1.28
945,baptizer,3.97,1.18
946,bar,4.67,0.62
947,barbarian,3.52,1.5
948,barbarism,2.41,1.33
949,barbecue,4.52,0.75
950,barbell,4.79,0.62
951,barber,4.59,0.57
952,barbershop,4.85,0.77
953,barbwire,4.68,0.67
954,bargain,2.59,1.15
955,bargainer,3.29,1.15
956,bargaining,2.76,1.27
957,barista,4.68,0.69
958,baritone,3.67,1.52
959,bark,4.52,1.09
960,barkeeper,4.61,0.89
961,barley,4.59,1.08
962,barmaid,4.17,1.21
963,barman,4.46,1.14
964,barn,4.79,0.57
965,barnacle,4.92,0.39
966,barnyard,4.79,0.5
967,barometer,4.57,0.92
